ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
,2043,,,Piemonte,293716.0,right_only,BSL,293716.0,,139.51463883489,130.3400900900901,141.4557620817844,2105.2701168341277,2076.3805989761267,2253.4586234901767
,2044,,,Piemonte,295989.0,right_only,BSL,295989.0,,139.51463883489,130.3400900900901,141.4557620817844,2121.562313975461,2092.449226839344,2270.8976171139257
,2045,,,Piemonte,297655.0,right_only,BSL,297655.0,,139.51463883489,130.3400900900901,141.4557620817844,2133.5037132000375,2104.2267605041575,2283.6795631663526
,2046,,,Piemonte,298626.0,right_only,BSL,298626.0,,139.51463883489,130.3400900900901,141.4557620817844,2140.463556325526,2111.0910973520167,2291.1293048331636
,2047,,,Piemonte,298957.0,right_only,BSL,298957.0,,139.51463883489,130.3400900900901,141.4557620817844,2142.836067215883,2113.431051519515,2293.6688151232916
,2048,,,Piemonte,298966.0,right_only,BSL,298966.0,,139.51463883489,130.3400900900901,141.4557620817844,2142.9005765754396,2113.494675650958,2293.737865252026
,2049,,,Piemonte,298579.0,right_only,BSL,298579.0,,139.51463883489,130.3400900900901,141.4557620817844,2140.1266741145087,2110.7588379989274,2290.7687097164385
,2050,,,Piemonte,297789.0,right_only,BSL,297789.0,,139.51463883489,130.3400900900901,141.4557620817844,2134.464185886768,2105.174053127858,2284.7076428608457
,2051,,,Piemonte,296610.0,right_only,BSL,296610.0,,139.51463883489,130.3400900900901,141.4557620817844,2126.0134597848623,2096.8392919088815,2275.662075996613
,2052,,,Piemonte,294879.0,right_only,BSL,294879.0,,139.51463883489,130.3400900900901,141.4557620817844,2113.606159630155,2084.602250628094,2262.381434569992
,2053,,,Piemonte,292673.0,right_only,BSL,292673.0,,139.51463883489,130.3400900900901,141.4557620817844,2097.794198832187,2069.0072690767274,2245.456480793489
,2054,,,Piemonte,289992.0,right_only,BSL,289992.0,,139.51463883489,130.3400900900901,141.4557620817844,2078.5775773909572,2050.05434725478,2224.8872146671047
,2055,,,Piemonte,286885.0,right_only,BSL,286885.0,,139.51463883489,130.3400900900901,141.4557620817844,2056.3075129307176,2028.0898832112182,2201.0495757806157
,2056,,,Piemonte,283408.0,right_only,BSL,283408.0,,139.51463883489,130.3400900900901,141.4557620817844,2031.3853970220432,2003.5097604305731,2174.373209379482
,2057,,,Piemonte,279751.0,right_only,BSL,279751.0,,139.51463883489,130.3400900900901,141.4557620817844,2005.173093922238,1977.6571550210765,2146.3158404036567
,2058,,,Piemonte,275927.0,right_only,BSL,275927.0,,139.51463883489,130.3400900900901,141.4557620817844,1977.763783817328,1950.6239685059234,2116.977207927978
,2059,,,Piemonte,272059.0,right_only,BSL,272059.0,,139.51463883489,130.3400900900901,141.4557620817844,1950.0390946212528,1923.2797306814955,2087.300997045152
,2060,,,Piemonte,268204.0,right_only,BSL,268204.0,,139.51463883489,130.3400900900901,141.4557620817844,1922.4075856112038,1896.0273943802624,2057.7245252371654
,2061,,,Piemonte,264491.0,right_only,BSL,264491.0,,139.51463883489,130.3400900900901,141.4557620817844,1895.7938909408247,1869.7789054862344,2029.2375110158803
,2062,,,Piemonte,260993.0,right_only,BSL,260993.0,,139.51463883489,130.3400900900901,141.4557620817844,1870.7212531931848,1845.0503263988899,2002.4000276476993
,2063,,,Piemonte,257800.0,right_only,BSL,257800.0,,139.51463883489,130.3400900900901,141.4557620817844,1847.8347659638498,1822.4778984326545,1977.9025764199687
,2064,,,Piemonte,255002.0,right_only,BSL,255002.0,,139.51463883489,130.3400900900901,141.4557620817844,1827.7795228483849,1802.697862901954,1956.4356586200342
,2065,,,Piemonte,252638.0,right_only,BSL,252638.0,,139.51463883489,130.3400900900901,141.4557620817844,1810.8350644048685,1785.985924376373,1938.298491472413
,2066,,,Piemonte,250754.0,right_only,BSL,250754.0,,139.51463883489,130.3400900900901,141.4557620817844,1797.3311051377004,1772.6672728610622,1923.8439978573033
,2067,,,Piemonte,249395.0,right_only,BSL,249395.0,,139.51463883489,130.3400900900901,141.4557620817844,1787.5901918446637,1763.0600290132345,1913.417428418379
,2068,,,Piemonte,248600.0,right_only,BSL,248600.0,,139.51463883489,130.3400900900901,141.4557620817844,1781.8918650838366,1757.4398974024743,1907.3180003801558
,2069,,,Piemonte,248310.0,right_only,BSL,248310.0,,139.51463883489,130.3400900900901,141.4557620817844,1779.8132301647927,1755.389786500436,1905.0930517875966
,2070,,,Piemonte,248523.0,right_only,BSL,248523.0,,139.51463883489,130.3400900900901,141.4557620817844,1781.3399516742973,1756.8955576112435,1906.7272381676487
,2071,,,Piemonte,249201.0,right_only,BSL,249201.0,,139.51463883489,130.3400900900901,141.4557620817844,1786.1996567608896,1761.6885755132503,1911.9290145323218
